# MNE-Annotations
# orig_time : 2023-08-26 09:12:54
# onset, duration, description
3.013,0.001,DIN1
3.147002,4.613538461538461,BAD_SEGMENT
55.740333529066355,7.924016441573698,BAD_SEGMENT
150.786,0.001,DIN1
150.78799999999998,0.0,BAD boundary
150.78799999999998,0.0,EDGE boundary
150.78799999999998,0.001,DIN1
200.3886224310041,1.044796241926008,BAD_SEGMENT
295.58251556077516,3.762440399295315,BAD_SEGMENT
